id;set;set_id;type;title;level;question_text;definition;sentence;opt1;opt2;opt3;opt4;correct_answer;explanation;example1;example2;example3;example4;usage1;tip;image_url;description;audio_url;prompt;transcript;front_fields
;Stative Verbs;;usage_cases;adore;B1;;To love or admire deeply;;;;;;;She adores her new puppy.;I adore the way you laugh.;They adore spending time at the beach.;;Expressing strong positive emotion;Pronúncia: /adór/ | Exceção: Raramente contínuo. Em inglês informal aparece “I’m adoring this weather”, mas não é padrão.;;;;;;title
;Stative Verbs;;usage_cases;agree;B1;;To share the same opinion;;;;;;;I agree with your assessment.;They never agree on politics.;We all agree that safety matters.;;Expressing mental accord;Pronúncia: /agrí/ | Exceção: Pode ser contínuo durante negociações: “We’re agreeing on the terms now.”;;;;;;title
;Stative Verbs;;usage_cases;appear;B1;;To seem or give an impression (not physical appearance);;;;;;;He appears tired after the trip.;The problem appears unsolvable.;It appears that we were wrong.;;Describing a perceived state;Pronúncia: /apír/ | Exceção: Quando significa “entrar em cena” ou “atuar” é dinâmico: “The actor is appearing on stage tonight.”;;;;;;title
;Stative Verbs;;usage_cases;astonish;B1;;To cause great surprise;;;;;;;Your kindness astonishes me.;It astonishes us that she left so quickly.;The magician’s trick astonishes everyone.;;Describing an emotional effect;Pronúncia: /astônich/ | Exceção: Geralmente estativo; formas contínuas são incomuns.;;;;;;title
;Stative Verbs;;usage_cases;be;B1;;To exist or have a quality (connecting verb);;;;;;;He is a doctor.;They are very happy.;The weather was cold yesterday.;;Linking subject to state or identity;Pronúncia: /bí/ | Exceção: Contínuo usado para comportamento temporário: “You are being silly.” (agindo como bobo agora);;;;;;title
;Stative Verbs;;usage_cases;believe;B1;;To accept as true;;;;;;;I believe in honesty.;She believes his story.;Do you believe that ghosts exist?;;Expressing opinion or faith;Pronúncia: /bilívi/ | Exceção: Raramente contínuo. “I’m believing you now” (convencimento gradual) é não padrão.;;;;;;title
;Stative Verbs;;usage_cases;belong;B1;;To be the property of; to be a member;;;;;;;This book belongs to Maria.;He belongs to a tennis club.;Those shoes belong in the closet.;;Expressing possession or membership;Pronúncia: /bilóng/ | Exceção: Não usado em tempos contínuos.;;;;;;title
;Stative Verbs;;usage_cases;concern;B1;;To involve or affect; to worry;;;;;;;This matter concerns all of us.;His health concerns his parents.;The report concerns climate change.;;Describing relevance or emotional effect;Pronúncia: /consérn/ | Exceção: Contínuo possível para enfatizar preocupação atual: “What is concerning me most is the delay.”;;;;;;title
;Stative Verbs;;usage_cases;consist;B1;;To be composed or made of;;;;;;;The team consists of five members.;Her diet consists mostly of fruit.;The test consists of three parts.;;Describing composition;Pronúncia: /consíst/ | Exceção: Não usado em tempos contínuos.;;;;;;title
;Stative Verbs;;usage_cases;contain;B1;;To have inside; to hold;;;;;;;The box contains old letters.;This juice contains no sugar.;His speech contained many jokes.;;Describing contents;Pronúncia: /contêin/ | Exceção: Raramente contínuo. “The bottle is containing water” é incorreto.;;;;;;title
