id;set;set_id;type;title;level;question_text;definition;sentence;opt1;opt2;opt3;opt4;correct_answer;explanation;example1;example2;example3;example4;usage1;tip;image_url;description;audio_url;prompt;transcript;front_fields
;Florida Class E Knowledge Exam;;multiple_choice;Q1 - Flashing Red Light;A2;A flashing red traffic light means:;;;Stop, yield to traffic, and proceed when safe.;Slow down and proceed with caution.;Come to a complete stop and wait for a green light.;Stop only if there is cross traffic.;0;A flashing red light is treated like a stop sign – stop, yield, and proceed when safe.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q2 - Diamond Sign;A2;A diamond-shaped sign indicates:;;;School zone.;Yield right-of-way.;Warning or hazard ahead.;Regulatory command.;2;Diamond-shaped signs are yellow and warn of hazards or unusual conditions ahead.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q3 - Solid Yellow Line (Your Side);A2;What does a solid yellow line on your side of the center line mean?;;;Passing is permitted with caution.;Passing is prohibited.;You are in a construction zone.;You are approaching a school zone.;1;A solid yellow line on your side means you cannot pass – it is a no-passing zone.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q4 - Pennant Sign Shape;A2;A sign shaped like a pennant (pointed sideways) indicates a:;;;School crossing.;Railroad crossing.;No passing zone.;Yield ahead.;2;A pennant-shaped sign always marks the beginning of a no-passing zone.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q5 - Flashing Yellow Signal;A2;What should you do at a flashing yellow traffic signal?;;;Stop completely before entering the intersection.;Slow down and proceed with caution.;Maintain speed but look both ways.;Treat it as a stop sign.;1;Flashing yellow means proceed with caution – be alert for hazards.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q6 - Orange Sign Color;A2;An orange-colored sign always indicates:;;;A scenic route or park.;A construction or maintenance zone.;A regulatory command.;A warning for sharp curves.;1;Orange signs are used exclusively for construction and maintenance zones.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q7 - School Zone Sign Shape;A2;A school zone sign is what shape?;;;Pentagon (five-sided).;Octagon (eight-sided).;Diamond.;Circle.;0;School zone signs are pentagon-shaped (five sides).;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q8 - White Pavement Lines at Intersections;A2;White lines painted across the pavement at intersections indicate:;;;Where vehicles must stop for signs or signals.;The zone where parking is permitted.;A pedestrian-only walking path.;Where you must yield to bicycles.;0;Solid white stop lines show where to stop for signs or red lights.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q9 - Steady Red Arrow;A2;What does a steady red arrow mean?;;;You can turn carefully after stopping.;You must full stop and cannot turn in the direction of the arrow.;You have the right-of-way to turn.;You must yield to pedestrians only.;1;A steady red arrow means you must stop and may not turn in that direction.;;;;;;;;;;;
;Florida Class E Knowledge Exam;;multiple_choice;Q10 - Round Yellow RR Sign;A2;A round yellow sign with a black "X" and the letters "RR" warns of:;;;A resting area ahead.;A railroad crossing ahead.;A rough road surface.;A bypass route.;1;This is the advance warning sign for a railroad crossing.;;;;;;;;;;;
