id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,FL Driver Study,,gap_fill,DUI refusal suspension,Beginner,,,A driver who refuses to take a breath test after a DUI arrest will have their license suspended for ______ year(s).,,,,,"one,1",,Refusal = automatic 1‑year suspension.\br[PT] Recusa = suspensão automática de 1 ano.,,,,,,,,,,,
,FL Driver Study,,gap_fill,Zero tolerance BAC limit,Beginner,,,"For a driver under 21, any BAC of ______ or higher results in a six‑month suspension.",,,,,".02,0.02",Zero Tolerance law.\br[PT] Lei Tolerância Zero.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,DUI school hours first,Beginner,,,A first DUI conviction requires ______ hours of DUI school.,,,,,"12,doze",First offense = 12 hours. Second or third = 21 hours.\br[PT] Primeira infração = 12 horas. Segunda ou terceira = 21 horas.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Texting school zone extra points,Intermediate,,,Texting while driving in a school zone adds an additional ______ points to the primary offense.,,,,,"3,three",Texting = 3 points. School zone adds 3 more.\br[PT] Digitar = 3 pontos. Zona escolar adiciona mais 3.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Dark signal treatment,Intermediate,,,"If a traffic light is completely dark, treat the intersection as a ______-way stop.",,,,,"four,4",Power outage = all directions stop.\br[PT] Falta de energia = parada em todas as direções.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Minor 6 points restriction type,Intermediate,,,A driver under 18 who accumulates 6 or more points in 12 months is restricted to driving for ______ purposes only for one year.,,,,,business,“Business Purposes ONLY” restriction.\br[PT] Restrição “APENAS Finalidades Comerciais”.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,School bus two‑lane stop direction,Intermediate,,,"On a two‑lane road, when a school bus stops with red lights flashing, vehicles in ______ directions must stop.",,,,,both,"Unless divided by a raised barrier, both directions stop.\br[PT] A menos que haja uma barreira elevada, as duas direções param.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Following distance seconds,Beginner,,,The minimum following distance in normal conditions is ______ seconds.,,,,,"four,4",Use the 4‑second rule.\br[PT] Use a regra dos 4 segundos.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,LSV speed limit max,Intermediate,,,A low‑speed vehicle may only be operated on roads with a posted speed limit of ______ mph or less.,,,,,"35,thirty-five","LSV top speed 21‑25 mph, restricted to 35 mph roads.\br[PT] VLV velocidade máxima 21‑25 mph, restrita a vias de 35 mph.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Parking uphill without curb,Intermediate,,,"When parking uphill without a curb, turn your wheels to the ______.",,,,,right,"So the car rolls off the road, not into traffic.\br[PT] Para que o carro role para fora da pista, não para o tráfego.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,School zone sign shape,Beginner,,,A ______-shaped sign indicates a school zone.,,,,,pentagon,Pentagon = school zone; round = railroad; diamond = warning.\br[PT] Pentágono = zona escolar; redondo = ferrovia; losango = advertência.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Tire tread depth 32nds,Beginner,,,A tire must have a minimum tread depth of ______/32 inch.,,,,,2,2/32 inch is legal minimum; 3/32 recommended.\br[PT] 2/32 polegada é o mínimo legal; 3/32 recomendado.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,DUI revocation minimum days,Intermediate,,,A first DUI conviction results in license revocation for a minimum of ______ days.,,,,,"180, one hundred eighty",Minimum 180 days revocation.\br[PT] Revogação mínima de 180 dias.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,First license fee dollars,Beginner,,,The initial fee for a first Florida driver license is $______.,,,,,"48,forty-eight","$48 for first license, learner’s, and renewals.\br[PT] $48 para primeira licença, permissão e renovações.",,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Non‑resident employment days,Beginner,,,A non‑resident who accepts employment in Florida must obtain a Florida license within ______ days.,,,,,"30,thirty",30 days after starting work or enrolling a child.\br[PT] 30 dias após iniciar o trabalho ou matricular uma criança.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Backing up test forbidden mirror,Intermediate,,,"On the driving skills test, when backing up you may not use the rear‑view mirror or ______ camera.",,,,,"backup,rear‑view",You must look directly to the rear.\br[PT] Você deve olhar diretamente para trás.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Restriction code B,Intermediate,,,Restriction Code B means the driver must wear ______ lenses.,,,,,corrective,Code B = corrective lenses (glasses or contacts).\br[PT] Código B = lentes corretivas (óculos ou contatos).,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Leaving scene property damage points,Advanced,,,Leaving the scene of a crash with property damage over $50 adds ______ points.,,,,,"6,six",6 points for leaving the scene.\br[PT] 6 pontos por deixar o local.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Driver 80+ renewal exam,Intermediate,,,A driver 80 years or older must pass a ______ exam to renew their license.,,,,,vision,Vision exam required; can be done by their own doctor.\br[PT] Exame de vista obrigatório; pode ser feito pelo seu próprio médico.,,,,,,,,,,,,title
,FL Driver Study,,gap_fill,Second offense 50+ over fine,Advanced,,,The fine for a second offense of exceeding the speed limit by more than 50 mph is up to $______.,,,,,"2500,2.500","Second offense up to $2,500.\br[PT] Segunda infração até $2.500.",,,,,,,,,,,,title
